diameter_um,crude_1_vol%,crude_2_vol%,crude_3_vol%,milled_1_vol%,milled_2_vol%,milled_3_vol%
0.011,0,0,0,0,0,0
0.013,0,0,0,0,0,0
0.015,0,0,0,0,0,0
0.017,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.023,0,0,0,0,0,0
0.026,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.034,0,0,0,0,0,0
0.039,0,0,0,0,0,0
0.044,0,0,0,0,0,0
0.051,0,0,0,0,0,0
0.058,0,0,0,0,0,0
0.067,0,0,0,0,0,0
0.076,0,0,0,0,0,0
0.087,0,0,0,0,0,0
0.1,0,0,0,0,0,0
0.115,0,0,0,0,0,0
0.131,0,0,0,0,0,0
0.15,0,0,0,0,0,0
0.172,0,0,0,0,0,0
0.197,0,0,0,0,0,0
0.226,0,0,0,0,0,0
0.259,0,0,0,0,0,0
0.296,0,0,0,0.125,0.134,0.109
0.339,0,0,0,0.288,0.311,0.251
0.389,0,0,0,0.613,0.664,0.533
0.445,0,0,0,1.094,1.184,0.951
0.51,0,0,0,1.774,1.912,1.542
0.584,0,0,0,2.707,2.9,2.355
0.669,0,0,0,4.031,4.288,3.511
0.766,0,0,0,5.978,6.304,5.221
0.877,0,0,0,8.77,9.154,7.699
1.005,0,0,0,12.29,12.679,10.885
1.151,0,0,0,13.939,14.174,12.536
1.318,0,0,0,12.124,12.142,11.108
1.51,0,0,0,8.874,8.757,8.296
1.729,0,0,0,6.563,6.384,6.26
1.981,0,0,0,4.594,4.405,4.474
2.269,0,0,0,2.974,2.811,2.964
2.599,0,0,0,1.833,1.709,1.874
2.976,0,0,0,1.113,1.024,1.17
3.409,0,0,0,0.689,0.626,0.748
3.905,0,0,0.101,0.449,0.402,0.504
4.472,0.179,0.219,0.238,0.314,0.279,0.367
5.122,0.412,0.488,0.527,0.24,0.211,0.293
5.867,0.872,1.005,1.075,0.2,0.176,0.256
6.72,1.671,1.88,1.995,0.182,0.16,0.246
7.697,2.856,3.154,3.326,0.179,0.158,0.255
8.816,4.324,4.71,4.938,0.188,0.168,0.283
10.097,5.934,6.388,6.665,0.205,0.186,0.326
11.565,7.589,8.081,8.391,0.227,0.208,0.381
13.246,8.462,8.942,9.251,0.262,0.245,0.465
15.172,8.345,8.768,9.042,0.312,0.298,0.582
17.377,7.482,7.82,8.04,0.378,0.37,0.739
19.904,6.318,6.569,6.73,0.465,0.463,0.944
22.797,5.22,5.396,5.506,0.577,0.579,1.202
26.111,4.37,4.484,4.55,0.716,0.71,1.506
29.907,3.793,3.85,3.876,0.866,0.827,1.814
34.255,3.44,3.439,3.421,0.985,0.877,2.023
39.234,3.272,3.198,3.127,0.987,0.797,1.958
44.938,3.252,3.087,2.951,0.807,0.59,1.515
51.471,3.238,2.977,2.776,0.56,0.381,0.971
58.953,3.18,2.827,2.571,0.34,0.225,0.526
67.523,3.037,2.612,2.318,0.19,0.128,0.251
77.34,2.794,2.325,2.015,0,0,0
88.583,2.458,1.981,1.679,0,0,0
101.46,2.025,1.585,1.32,0,0,0
116.21,1.539,1.177,0.971,0,0,0
133.103,1.18,0.887,0.73,0,0,0
152.453,0.909,0.681,0.564,0,0,0
174.616,0.691,0.523,0.442,0,0,0
200,0.517,0.404,0.352,0,0,0
229.075,0.376,0.311,0.283,0,0,0
262.376,0.264,0.236,0.23,0,0,0
300.518,0,0,0,0,0,0
344.206,0,0,0,0,0,0
394.244,0,0,0,0,0,0
451.556,0,0,0,0,0,0
517.2,0,0,0,0,0,0
592.387,0,0,0,0,0,0
678.504,0,0,0,0,0,0
777.141,0,0,0,0,0,0
890.116,0,0,0,0,0,0
1019.515,0,0,0,0,0,0
1167.725,0,0,0,0,0,0
1337.481,0,0,0,0,0,0
1531.914,0,0,0,0,0,0
1754.613,0,0,0,0,0,0
2009.687,0,0,0,0,0,0
2301.841,0,0,0,0,0,0
2636.467,0,0,0,0,0,0
3000,0,0,0,0,0,0
